ITERATION, [OBJ_FUNC]STIFFNESSENERGY_OBJ_FUNC, [OBJ]OBJ_FUNC_DRESP:STIFFNESS_MEASURE, [OBJ]OBJ_FUNC_TERM:STIFFNESS_MEASURE, [CON]MASS_CONSTRAINT_1:LE:MASS_DRESP_1, [VAR]STIFFNESS_MEASURE, [VAR]MASS_DRESP_1, [VAR]AV_CONV_ALL_ELEMENTS, [VAR]AV_CHG_OBJF_ALL_ELEMENTS, [VAR]AV_CHG_DV_ALL_ELEMENTS, [VAR]AV_CONV_TRUE_ALL_ELEMENTS
Norm-Values:, 1.5803905e-3, 1.5803905e-3, 1.5803905e-3, 4.1959945e-2, 1.5803905e-3, 4.6622161e-2, 0.0000000, 1.0000000e-3, 4.9999999e-3, 9.9000001e-1
0, 1.5803905e-3, 1.5803905e-3, 1.5803905e-3, 4.1960333e-2, 1.5803905e-3, 4.1960333e-2, 0.0000000, 0.0000000, 0.0000000, 9.9000001e-1
1, 1.5763913e-3, 1.5763913e-3, 1.5763913e-3, 4.1794438e-2, 1.5763913e-3, 4.1794438e-2, 0.0000000, 2.5369434e-3, 5.0806910e-2, 9.9000001e-1
2, 1.5410257e-3, 1.5410257e-3, 1.5410257e-3, 4.1839179e-2, 1.5410257e-3, 4.1839179e-2, 0.0000000, 2.2949375e-2, 2.0193314e-2, 9.9000001e-1
3, 1.4757513e-3, 1.4757513e-3, 1.4757513e-3, 4.1889869e-2, 1.4757513e-3, 4.1889869e-2, 0.0000000, 4.4231314e-2, 1.6200980e-2, 9.9000001e-1
4, 1.4035123e-3, 1.4035123e-3, 1.4035123e-3, 4.1921522e-2, 1.4035123e-3, 4.1921522e-2, 0.0000000, 5.1470134e-2, 1.3504357e-2, 9.9000001e-1
5, 1.3386582e-3, 1.3386582e-3, 1.3386582e-3, 4.1937780e-2, 1.3386582e-3, 4.1937780e-2, 0.0000000, 4.8447140e-2, 1.1523235e-2, 9.9000001e-1
6, 1.2944061e-3, 1.2944061e-3, 1.2944061e-3, 4.1949499e-2, 1.2944061e-3, 4.1949499e-2, 0.0000000, 3.4187127e-2, 8.7484829e-3, 9.9000001e-1
7, 1.2704062e-3, 1.2704062e-3, 1.2704062e-3, 4.1953508e-2, 1.2704062e-3, 4.1953508e-2, 0.0000000, 1.8891556e-2, 6.9477051e-3, 9.9000001e-1
8, 1.2540319e-3, 1.2540319e-3, 1.2540319e-3, 4.1955139e-2, 1.2540319e-3, 4.1955139e-2, 0.0000000, 1.3057308e-2, 5.5302936e-3, 9.9000001e-1
9, 1.2440964e-3, 1.2440964e-3, 1.2440964e-3, 4.1955549e-2, 1.2440964e-3, 4.1955549e-2, 0.0000000, 7.9860892e-3, 4.1895732e-3, 9.9000001e-1
10, 1.2372382e-3, 1.2372382e-3, 1.2372382e-3, 4.1956671e-2, 1.2372382e-3, 4.1956671e-2, 0.0000000, 5.5432008e-3, 3.1464982e-3, 9.9000001e-1
11, 1.2310391e-3, 1.2310391e-3, 1.2310391e-3, 4.1958317e-2, 1.2310391e-3, 4.1958317e-2, 0.0000000, 5.0356775e-3, 2.3557639e-3, 9.9000001e-1
12, 1.2273334e-3, 1.2273334e-3, 1.2273334e-3, 4.1958738e-2, 1.2273334e-3, 4.1958738e-2, 0.0000000, 3.0192416e-3, 1.9139010e-3, 9.9000001e-1
13, 1.2252589e-3, 1.2252589e-3, 1.2252589e-3, 4.1959170e-2, 1.2252589e-3, 4.1959170e-2, 0.0000000, 1.6931287e-3, 1.6195090e-3, 9.9000001e-1
14, 1.2237596e-3, 1.2237596e-3, 1.2237596e-3, 4.1959275e-2, 1.2237596e-3, 4.1959275e-2, 0.0000000, 1.2251695e-3, 1.5239007e-3, 9.9000001e-1
15, 1.2229643e-3, 1.2229643e-3, 1.2229643e-3, 4.1959312e-2, 1.2229643e-3, 4.1959312e-2, 1.0000000, 6.5034564e-4, 1.4912495e-3, 9.9000001e-1
